items_id,rfid,model_id,dateAcquired,location_id,serialNum,comments,price,pbhrnumber,user_id,accountedFor,alias,delete_Boolean
4669,2F2203138544D32000000055,5184,NULL,53,9L80MM1,NULL,1710,NULL,89,NULL,USMANBDDRYNOLDS,
5138,2F2203438544D32000000002,5178,NULL,58,SG50330039,NULL,142.52,NULL,11,Missing,NULL,
5139,2F2203438544D32000000003,5178,NULL,58,SG50260003,NULL,142.52,NULL,152,Missing,NULL,
5140,2F2203438544D32000000004,5178,NULL,58,SG50270002,NULL,142.52,NULL,152,Missing,NULL,
5141,2F2203438544D32000000007,5178,NULL,58,SG50330026,NULL,142.52,NULL,152,Missing,NULL,
4692,2F2203438544D32000000009,5178,NULL,53,SG50330027,NULL,142.52,NULL,152,Missing,NULL,
4654,2F2203438544D3200000000B,5178,NULL,50,SG50330016,NULL,142.52,NULL,47,Missing,NULL,
4693,2F2203438544D3200000000F,5178,NULL,53,SG50330017,NULL,142.52,NULL,32,Missing,NULL,
4694,2F2203438544D32000000011,5178,NULL,53,SG50330046,NULL,142.52,NULL,47,Missing,NULL,
5042,2F2203438544D32000000037,5206,NULL,57,CN0W160G7287298H0EPI,NULL,129,NULL,44,Missing,NULL,
5043,2F2203438544D32000000038,5206,NULL,57,CN0W160G7287297U0L5I,NULL,129,NULL,152,Missing,NULL,
5044,2F2203438544D32000000039,5206,NULL,57,CN0W160G7287297U0KRI,NULL,129,NULL,25,Missing,NULL,
5045,2F2203438544D3200000003A,5206,NULL,57,CN0W160G7287297U04WI,NULL,129,NULL,44,Missing,NULL,
5046,2F2203438544D3200000003B,5206,NULL,57,CN0W160G7287297U0MKI,NULL,129,NULL,44,Missing,NULL,
5047,2F2203438544D3200000003C,5206,NULL,57,CN0W160G7287297U0KDI,NULL,129,NULL,44,Missing,NULL,
5048,2F2203438544D3200000003D,5206,NULL,57,CN0W160G7287297U0KVI,NULL,129,NULL,44,Missing,NULL,
5049,2F2203438544D3200000003E,5206,NULL,57,CN0W160G7287298H0UCI,NULL,129,NULL,44,Missing,NULL,
5050,2F2203438544D3200000003F,5206,NULL,57,CN0W160G7287298H0GCI,NULL,129,NULL,44,Missing,NULL,
5051,2F2203438544D32000000040,5206,NULL,57,CN0W160G7287298H0GNI,NULL,129,NULL,44,Missing,NULL,
